TOWN,ZIPCODE,Average Customer Duration ( Hours),Total Duration Hours,# Events Affecting Town/Zipcode,Customers Served,Outages Per Customer,Events/Customer Above Average IND,Duration Above Average
ROGERS,06263,6,6442.1,51,241,0.212,BelowAverage,BelowAverage
ROXBURY,06783,25,310962.6,382,1360,0.281,BelowAverage,BelowAverage
SALEM,06420,23,496430.2,418,1992,0.210,BelowAverage,BelowAverage
SALISBURY,06068,25,169802.2,216,1420,0.152,BelowAverage,BelowAverage
SANDY HOOK,06482,34,1114739.5,809,4274,0.189,BelowAverage,BelowAverage
SCOTLAND,06264,22,219012.2,320,693,0.462,BelowAverage,BelowAverage
SEYMOUR,06483,28,1292750.8,432,7669,0.056,BelowAverage,BelowAverage
SHARON,06069,28,433524.3,459,2168,0.212,BelowAverage,BelowAverage
SHERMAN,06784,35,592307.4,473,1993,0.237,BelowAverage,BelowAverage
SIMSBURY,06070,21,386716.6,400,7542,0.053,BelowAverage,BelowAverage
SOMERS,06071,20,378201.8,363,4120,0.088,BelowAverage,BelowAverage
SOUTH GLASTONBURY,06073,23,309868.4,200,2104,0.095,BelowAverage,BelowAverage
SOUTH KENT,06785,34,81247.5,147,409,0.359,BelowAverage,BelowAverage
SOUTH WINDHAM,06266,24,42566.9,81,310,0.261,BelowAverage,BelowAverage
SOUTH WINDSOR,06074,20,457057.7,368,12266,0.030,BelowAverage,BelowAverage
SOUTH WOODSTOCK,06267,19,10628.7,111,72,1.542,BelowAverage,BelowAverage
SOUTHBURY,06488,35,1591613.0,1386,10037,0.138,BelowAverage,BelowAverage
SOUTHINGTON,06489,22,673413.0,520,15428,0.034,BelowAverage,BelowAverage
STAFFORD,06075,15,835.9,43,11,3.909,BelowAverage,BelowAverage
STAFFORD SPRINGS,06076,14,557657.7,664,6754,0.098,BelowAverage,BelowAverage
STAMFORD,06907,32,246211.5,194,4279,0.045,BelowAverage,BelowAverage
STAMFORD,06906,29,247825.0,156,4346,0.036,BelowAverage,BelowAverage
STAMFORD,06903,46,1504628.2,1480,5472,0.270,BelowAverage,BelowAverage
STAMFORD,06901,15,68668.9,126,7065,0.018,BelowAverage,BelowAverage
STAMFORD,06905,32,579299.8,485,9598,0.051,BelowAverage,BelowAverage
STAMFORD,06902,44,1320958.7,788,30931,0.025,BelowAverage,BelowAverage
STERLING,06377,27,328724.5,372,1539,0.242,BelowAverage,BelowAverage
STONINGTON,06378,32,668012.8,462,3675,0.126,BelowAverage,BelowAverage
STORRS MANSFIELD,06268,29,479858.8,489,4560,0.107,BelowAverage,BelowAverage
SUFFIELD,06078,13,180380.9,151,4829,0.031,BelowAverage,BelowAverage
TACONIC,06079,17,6060.1,16,60,0.267,BelowAverage,BelowAverage
TARIFFVILLE,06081,11,13286.4,31,752,0.041,BelowAverage,BelowAverage
TERRYVILLE,06786,24,239224.9,170,4162,0.041,BelowAverage,BelowAverage
THOMASTON,06787,21,178017.1,213,3883,0.055,BelowAverage,BelowAverage
THOMPSON,06277,17,437031.6,553,2463,0.225,BelowAverage,BelowAverage
TOLLAND,06084,17,698367.8,577,6153,0.094,BelowAverage,BelowAverage
TORRINGTON,06790,23,777667.9,415,18731,0.022,BelowAverage,BelowAverage
UNCASVILLE,06382,13,475315.4,379,5069,0.075,BelowAverage,BelowAverage
UNIONVILLE,06085,32,383485.8,137,2964,0.046,BelowAverage,BelowAverage
VERNON,06066,16,766561.6,540,16553,0.033,BelowAverage,BelowAverage
VERSAILLES,06383,14,9902.7,23,64,0.359,BelowAverage,BelowAverage
VOLUNTOWN,06384,21,326626.9,414,1321,0.313,BelowAverage,BelowAverage
WASHINGTON,06793,25,216302.3,410,939,0.437,BelowAverage,BelowAverage
WASHINGTON DEPOT,06794,26,142536.6,215,732,0.294,BelowAverage,BelowAverage
WATERBURY,06702,9,15691.5,69,2271,0.030,BelowAverage,BelowAverage
WATERBURY,06710,23,169108.7,104,4646,0.022,BelowAverage,BelowAverage
WATERBURY,06706,17,118441.0,135,6566,0.021,BelowAverage,BelowAverage
WATERBURY,06704,23,417136.9,284,11954,0.024,BelowAverage,BelowAverage
WATERBURY,06705,17,301416.2,221,12287,0.018,BelowAverage,BelowAverage
WATERBURY,06708,22,618684.4,325,14291,0.023,BelowAverage,BelowAverage
WATERFORD,06385,24,930428.5,534,8268,0.065,BelowAverage,BelowAverage
WATERTOWN,06795,23,433964.4,331,6454,0.051,BelowAverage,BelowAverage
WAUREGAN,06387,14,38188.9,58,462,0.126,BelowAverage,BelowAverage
WEATOGUE,06089,21,57228.2,79,1467,0.054,BelowAverage,BelowAverage
WEST CORNWALL,06796,38,120411.4,205,511,0.401,BelowAverage,BelowAverage
WEST GRANBY,06090,17,55924.8,92,464,0.198,BelowAverage,BelowAverage
WEST HARTFORD,06117,23,356320.1,294,5845,0.050,BelowAverage,BelowAverage
WEST HARTFORD,06110,47,376275.7,158,6365,0.025,BelowAverage,BelowAverage
WEST HARTFORD,06119,30,279654.2,182,7478,0.024,BelowAverage,BelowAverage
WEST HARTFORD,06107,37,669810.9,454,8702,0.052,BelowAverage,BelowAverage
WEST HARTLAND,06091,27,29121.3,37,182,0.203,BelowAverage,BelowAverage
WEST SIMSBURY,06092,25,104994.6,156,1496,0.104,BelowAverage,BelowAverage
WEST SUFFIELD,06093,14,53910.8,120,1556,0.077,BelowAverage,BelowAverage
WESTBROOK,06498,26,688539.2,461,4665,0.099,BelowAverage,BelowAverage
WESTON,06883,36,1358975.6,1387,3881,0.357,BelowAverage,BelowAverage
WESTPORT,06880,39,3293266.0,2226,12624,0.176,BelowAverage,BelowAverage
WETHERSFIELD,06109,24,801246.8,341,12680,0.027,BelowAverage,BelowAverage
WILLIMANTIC,06226,19,349556.7,246,7574,0.032,BelowAverage,BelowAverage
WILLINGTON,06279,20,395005.7,379,2968,0.128,BelowAverage,BelowAverage
WILTON,06897,45,2027965.2,2008,7526,0.267,BelowAverage,BelowAverage
WINCHESTER CENTER,06094,16,31320.1,67,143,0.469,BelowAverage,BelowAverage
WINDHAM,06280,23,229508.5,375,1641,0.229,BelowAverage,BelowAverage
WINDSOR,06095,20,620706.4,450,13700,0.033,BelowAverage,BelowAverage
WINDSOR LOCKS,06096,24,223460.3,130,6572,0.020,BelowAverage,BelowAverage
WINSTED,06098,27,672810.2,338,5963,0.057,BelowAverage,BelowAverage
WOLCOTT,06716,25,368359.8,290,7034,0.041,BelowAverage,BelowAverage
WOODBRIDGE,06525,26,10914.0,45,29,1.552,BelowAverage,BelowAverage
WOODBURY,06798,25,964711.1,701,5216,0.134,BelowAverage,BelowAverage
WOODSTOCK,06281,20,747472.3,738,3574,0.206,BelowAverage,BelowAverage
WOODSTOCK VALLEY,06282,17,129173.9,233,541,0.431,BelowAverage,BelowAverage
